Key,en,pt,de,es,kr,it
db.messages.parser.error-duplicate-variable,duplicate variable name: {{name}},nome de variável duplicado: {{name}},Variablenname wurde mehrfach definiert: {{name}},nombre de variable duplicado: {{name}},변수 이름 중복: {{name}},nome di variabile duplicato: {{name}}
db.messages.parser.error-invalid-date-format,"""{{str}}""  is not a valid date; expected format: YYYY-MM-DD","""{{str}}"" não é uma data válida; formato esperado: YYYY-MM-DD","""{{str}}"" ist kein gültiges Datum; erwartetes Format: YYYY-MM-DD","""{{str}}""  no es una fecha válida; formato esperado: YYYY-MM-DD","""__str__""  유효하지 않은 날짜; 형식: YYYY-MM-DD","""{{str}}""  non è una data valida; formato atteso: AAAA-MM-GG"
db.messages.parser.error-group-duplicate-header,duplicate header {{name}},cabeçalho duplicado {{name}},mehrfacher header {{name}},header duplicado {{name}}, 헤더 중복: {{name}},intestazione duplicata {{name}}
db.messages.parser.error-group-unknown-header,unknown header {{name}},cabeçalho desconhecido {{name}},unbekannter header {{name}},header desconocido {{name}},알 수 없는 헤더:  {{name}},instazione sconosciuta {{name}}
db.messages.parser.error-group-header-name-missing,the name of the group is missing (group: ....),o nome do grupo está ausente (group: ....),der Name des Datensatzes fehlt (group: ....),el nombre del grupo no se ha encontrado (group: ....),그룹 이름이 없음(group: ....),manca il nome del gruppo (group: ....)
db.messages.parser.error-group-header-name-empty,the name of the group must not be empty,o nome do grupo não pode ser vazio,der Name des Datensatzes ist leer,el nombre del grupo debe ser rellenado,그룹 이름은 비어있으면 안됨,il nome del gruppo non può essere vuoto
db.messages.parser.error-group-non-unique-attribute,non unique attribute {{name{{ in column }}index}},atributo não único {{name}} na coluna {{index}},nicht eindeutiges Attribut {{name}} in Spalte {{index}},atributo no único {{name}} en columna {{index}},__index__ 열에서 고유하지 않은 속성 {{name}},attributo non unico {{name{{ in column }}index}}
db.messages.parser.error-group-non-unique-group-name,duplicate group name: {{name}},nome de grupo duplicado: {{name}},Der Name der Gruppe {{name}} ist nicht eindeutig.,El nombre del grupo no es único.,duplicate group name: {{name}},nome del gruppo duplicato: {{name}}
db.messages.parser.error-sql-string-use-single-quotes,use single quotes for strings,use aspas simples para strings (caracteres/texto),verwenden Sie einfache Anführungszeichen für Zeichenketten,utiliza comillas simples para cadenas de caracteres,문자열에 작은 따음표 사용,usa l’apostrofo per le stringhe
db.messages.parser.error-sql-invalid-relation-name,"""{{str}}"" must not be used as a relation-name","""{{str}}"" não pode ser usado como nome de relação","""{{str}}"" darf nicht als name einer Relation verwendet werden","""{{str}}"" no debe ser utilizado como nombre de relacion","""__str__""은 관계 이름으로 사용 할 수 없음","""{{str}}"" non deve essere usato come nome di relazione"
